"","GSM614501","GSM614502","GSM614503","GSM614504","GSM614505","GSM614506","GSM614507","GSM614508","GSM614509","GSM614510","GSM614511","GSM614512","GSM614513","GSM614514","GSM614515","GSM614516","GSM614517","GSM614518","GSM614519","GSM614520","GSM614521","GSM614522","GSM614523","GSM614524"
"225979_at",175.673,181.798,156.651,187.084,261.428,183.158,129.264,177.521,129.744,174.966,136.643,206.102,239.807,171.857,222.56,220.794,198.816,252.266,122.625,142.205,141.798,148.631,167.866,136.862
"225980_at",363.117,311.906,306.308,307.291,298.938,267.691,541.106,580.332,583.016,437.826,624.256,563.87,424.897,398.185,356.651,301.024,384.185,472.568,463.583,399.864,538.302,482.545,446.521,494.138
"225981_at",623.621,618.836,586.304,443.135,523.562,486.717,200.372,168.362,179.291,279.663,187.654,164.917,771.011,635.235,675.055,640.274,778.696,885.287,151.187,193.661,163.229,188.547,238.956,172.761
"225982_at",642.598,712.357,641.362,479.872,641.481,529.131,657.448,696.3,710.873,660.079,662.752,699.904,630.048,721.072,620.676,560.771,676.241,614.359,474.934,619.429,605.29,578.643,616.217,532.007
"225983_s_at",34.0654,3.67488,8.46382,1.9848,35.3195,5.32572,4.89503,1.04104,4.63511,7.2449,8.98755,41.6471,9.61033,7.32877,28.1818,5.4016,11.1896,22.103,12.5943,31.7242,15.3148,4.51985,4.0262,7.40104
"225984_at",1092.6,1008.33,688.776,1069.17,1023.05,946.419,1084.64,1242.67,1235.3,1251.77,1118.11,751.87,1108.99,1387.69,901.814,780.938,1043.66,958.84,1196.26,1181.09,951.174,1065.66,1361.65,879.375
"225985_at",304.961,347.697,441.925,264.546,300.455,289.822,276.646,330.759,349.742,318.087,291.073,322.637,375.194,414.556,306.965,294.25,326.329,430.881,318.562,332.141,330.855,290.828,296.506,275.813
"225986_x_at",678.721,792.382,722.883,646.988,719.388,589.444,702.99,707.972,679.172,601.269,703.865,609.521,814.844,761.317,739.671,632.082,742.227,618.539,757.965,736.147,703.316,664.692,698.627,692.169
"225987_at",20.8996,25.0021,6.28976,18.641,15.9361,24.6654,34.2952,19.5422,28.8779,51.3268,25.6704,46.5606,18.4027,4.31888,45.9825,41.659,3.45764,36.7157,35.0599,57.0472,19.9916,13.7919,5.4088,19.8282
"225988_at",1124.95,1184.28,1258.53,1181.7,1285.68,1149.28,1157.93,1272.28,1283.23,1167.12,1257.65,1207.16,1106.5,1264.38,1152.35,1122.45,1105.04,1054.29,1266.1,1271.92,1084.8,1160.94,1078.07,1228.43
"225989_at",847.77,942.352,910.364,896.806,721.061,844.636,551.194,703.916,664.312,859.357,725.757,707.892,936.638,798.837,812.433,687.549,834.961,859.053,976.609,741.465,723.541,616.817,937.024,644.865
"225990_at",86.6214,42.7459,76.2113,62.9234,77.6141,47.0579,77.3169,59.5471,48.267,74.7748,12.7314,27.1613,41.3661,61.6071,51.0226,63.0566,37.0094,93.8421,83.6617,58.7576,48.2087,60.721,40.6226,44.4612
"225991_at",431.409,352.327,401.994,381.936,374.664,385.344,576.875,553.729,589.35,577.675,571.353,609.853,337.697,477.153,394.366,421.273,475.483,424.018,559.975,516.183,396.109,479.812,517.042,500.193
"225992_at",1160.87,1128.83,1222.66,1122.18,1243.46,1247.67,826.623,792.247,824.574,823.089,895.197,802.927,1014.89,1062.95,1053.57,1073.33,1049.54,966.2,915.397,793.201,949.927,910.22,970.206,911.713
"225993_at",215.926,257.823,259.456,237.959,187.598,160.869,288.077,219.508,328.206,324.191,255.047,335.192,169.376,227.02,240.489,225.405,266.047,250.057,308.493,279.943,228.263,299.531,289.675,339.057
"225994_at",1420.05,1416.45,1436.96,1274.33,1820.6,1252.06,1288.36,1327.48,1607.49,1445.2,1591.36,1688.56,1394.57,1573.38,1248.84,1439.5,1314.02,1280.75,1304.56,1509.05,1108.66,1448.02,1540.75,1412.31
"225995_x_at",401.8,480.668,411.851,431.696,498.568,493.221,427.576,297.994,524.952,487.316,579.646,471.707,398.259,625.699,548.375,480.631,471.079,602.751,388.087,436.093,525.179,449.269,407.801,448.937
"225996_at",3.20236,19.1316,4.71154,6.4187,22.1232,1.29459,13.5418,3.87526,0.921234,5.91486,1.3578,3.93612,5.09169,1.10923,3.36932,4.74292,3.85623,1.59428,1.44108,11.4843,2.65645,0.904971,2.26325,2.15256
"225997_at",872.884,1030.76,851.599,825.886,1163.34,1003.91,714.841,859.504,1026.06,877.637,904.853,819.77,962.258,1015.04,1088.9,945.369,891.008,871.38,1084.78,907.296,704.431,921.439,916.728,820.674
"225998_at",1123.31,1091.24,1092.14,1186.28,1199.22,1169.83,241.727,217.287,241.091,259.119,241.518,260.705,983.358,986.277,1018.19,997.574,884.242,808.271,473.2,375.652,393.382,278.092,269.085,311.194
"225999_at",303.755,319.422,308.885,289.591,397.767,384.902,265.845,244.15,238.993,238.9,210.732,232.65,276.284,319.348,267.361,261.887,294.243,268.103,235.242,235.976,193.34,270.434,337.774,226.801
"226000_at",2878.78,3595.63,3558.91,3827.18,4416.84,4098.85,3130.89,3860.48,4152.12,3794.74,3483.82,4136.62,3737.43,3189.01,3690.35,3411.49,3616.96,3447.38,3699.03,4049.46,3683.16,3864.97,4414.72,4250.92
"226001_at",4469.28,4122.52,4511.73,4801.04,4850.17,4853.65,3359.6,3520.39,3702.72,3627.82,3529.19,3424.75,5036.61,4603.04,4842.26,4761.22,4713.08,4627.45,3371.99,3170.81,2961.7,3479.38,3092.68,2971.26
"226002_at",1007.85,1047.21,969.305,949.501,1033.24,934.55,235.398,271.385,271.069,275.052,246.677,217.609,896.336,951.765,830.181,870.027,910.931,867.17,364.945,355.664,344.302,271.062,272.024,215.415
"226003_at",159.667,128.35,150.351,138.989,165.995,189.601,144.696,185.068,205.399,176.435,168.557,175.193,141.46,167.921,175.335,136.806,176.504,159.881,123.219,123.002,90.2785,133.211,147.843,130.14
"226004_at",474.855,501.575,462.941,414.638,502.436,444.752,419.819,391.938,391.238,415.542,354.236,407.438,532.84,527.004,499.8,473.191,498.149,491.625,347.858,366.96,297.927,431.599,377.672,394.734
"226005_at",1170.92,1050,973.413,1152.59,1137.57,1060.98,1085.96,1038.96,1027.79,1055.96,1117.26,1034.36,1126.16,1173.89,1176.66,1140.1,1121.12,1036.03,1153.03,1141.07,1059.03,1095.41,983.266,1131.77
"226006_at",4510.7,4022.67,4257.75,4552,4871.62,4809.86,3199.63,2901.2,2606.43,2824.3,3178.09,2752.22,3557.72,3805.42,4127.44,3961.3,3468.77,4043.52,3028.68,2927.31,3187.01,3436.48,3118.31,2981.54
"226007_at",2402.53,2258.06,2351.06,2483.6,2220.8,2359.06,2230.27,1916.76,1973.91,1927.03,1906.62,1901.5,2040.52,2086.89,2004.86,2091.37,1962.5,2084.48,1910.24,1989.57,1994.36,2137.57,2159.06,2168.76
"226008_at",659.456,634.535,614.34,524.074,547.87,618.163,634.081,693.605,519.277,744.99,732.169,670.547,836.353,549.88,741.633,657.656,443.38,706.175,633.427,588.019,656.038,726.427,681.814,707.548
"226009_at",542.761,532.722,469.974,445.989,592.268,519.662,1084.96,1033.54,937.104,1100.09,1042.37,1034.85,461.437,401.046,409.856,443.031,483.111,497.994,1042.39,1074.74,1220.89,1296.56,1249.28,1223.18
